x,y,z,u
-3.14159265, -3.14159265, 0.69057098, 0.005125291437242326
-3.07812614, -3.14159265, 0.58779637, 0.013161937859206552
-3.01465962, -3.14159265, 0.4757251, 0.02188521048463518
-2.9511931, -3.14159265, 0.35665888, 0.036380638239818686
-2.88772658, -3.14159265, 0.23292022, 0.05019039767935469
-2.82426006, -3.14159265, 0.10680069, 0.07484389177001184
-2.76079354, -3.14159265, -0.01948656, 0.09529074704644279
-2.69732703, -3.14159265, -0.14384917, 0.13160651026461037
-2.63386051, -3.14159265, -0.26435208, 0.17354521327975322
-2.57039399, -3.14159265, -0.37924767, 0.21041132320946063
-2.50692747, -3.14159265, -0.48699927, 0.2554775771032388
-2.44346095, -3.14159265, -0.58629806, 0.29932707741051845
-2.37999443, -3.14159265, -0.67607325, 0.35351330262506603
-2.31652792, -3.14159265, -0.7554961, 0.4040534168151331
-2.2530614, -3.14159265, -0.82397802, 0.44745023768935005
-2.18959488, -3.14159265, -0.88116341, 0.4923261670287292
-2.12612836, -3.14159265, -0.92691777, 0.5301278052180958
-2.06266184, -3.14159265, -0.96131202, 0.5613568151228706
-1.99919533, -3.14159265, -0.98460358, 0.5843542986496679
-1.93572881, -3.14159265, -0.99721502, 0.602831840230602
-1.87226229, -3.14159265, -0.99971124, 0.6172519211784432
-1.80879577, -3.14159265, -0.99277559, 0.6292086404428487
-1.74532925, -3.14159265, -0.97718594, 0.6430065942030919
-1.68186273, -3.14159265, -0.95379106, 0.6602108657980709
-1.61839622, -3.14159265, -0.92348804, 0.6808283016995796
-1.5549297, -3.14159265, -0.8872011, 0.7064762728914176
-1.49146318, -3.14159265, -0.84586219, 0.7335983423936229
-1.42799666, -3.14159265, -0.80039367, 0.7678031687896949
-1.36453014, -3.14159265, -0.75169327, 0.8022141531077212
-1.30106362, -3.14159265, -0.7006214, 0.8413600476194957
-1.23759711, -3.14159265, -0.64799088, 0.8875610659197899
-1.17413059, -3.14159265, -0.59455905, 0.9300682200771906
-1.11066407, -3.14159265, -0.54102212, 0.9761492464963261
-1.04719755, -3.14159265, -0.48801168, 1.0310545477440571
-0.98373103, -3.14159265, -0.43609312, 1.0851014665455534
-0.92026451, -3.14159265, -0.38576579, 1.1319352798375115
-0.856798, -3.14159265, -0.33746464, 1.1881260367907513
-0.79333148, -3.14159265, -0.29156312, 1.236010964326398
-0.72986496, -3.14159265, -0.24837706, 1.2907743135149496
-0.66639844, -3.14159265, -0.20816932, 1.3429079974692388
-0.60293192, -3.14159265, -0.17115495, 1.3874625089900379
-0.53946541, -3.14159265, -0.13750666, 1.4347186768232951
-0.47599889, -3.14159265, -0.10736039, 1.4746449873977652
-0.41253237, -3.14159265, -0.08082084, 1.5140421042134675
-0.34906585, -3.14159265, -0.05796667, 1.5465238531998518
-0.28559933, -3.14159265, -0.03885545, 1.5760187492522277
-0.22213281, -3.14159265, -0.023528, 1.5998415440831022
-0.1586663, -3.14159265, -0.01201223, 1.6178965761551896
-0.09519978, -3.14159265, -0.00432626, 1.6297951404041182
-0.03173326, -3.14159265, -0.00048079, 1.6358847498768636
0.03173326, -3.14159265, -0.00048079, 1.6358585411627575
0.09519978, -3.14159265, -0.00432626, 1.6297070092005137
0.1586663, -3.14159265, -0.01201223, 1.6176984937376546
0.22213281, -3.14159265, -0.023528, 1.5994637875549698
0.28559933, -3.14159265, -0.03885545, 1.5763829421793403
0.34906585, -3.14159265, -0.05796667, 1.548490212545866
0.41253237, -3.14159265, -0.08082084, 1.5141286859527383
0.47599889, -3.14159265, -0.10736039, 1.4751039976873608
0.53946541, -3.14159265, -0.13750666, 1.4354067852733197
0.60293192, -3.14159265, -0.17115495, 1.3881729178808044
0.66639844, -3.14159265, -0.20816932, 1.343388948825066
0.72986496, -3.14159265, -0.24837706, 1.2906070572908395
0.79333148, -3.14159265, -0.29156312, 1.2353664743809474
0.856798, -3.14159265, -0.33746464, 1.1874334894621705
0.92026451, -3.14159265, -0.38576579, 1.130999384911849
0.98373103, -3.14159265, -0.43609312, 1.0831889812578297
1.04719755, -3.14159265, -0.48801168, 1.027862607916093
1.11066407, -3.14159265, -0.54102212, 0.9831686107255315
1.17413059, -3.14159265, -0.59455905, 0.9325705564774037
1.23759711, -3.14159265, -0.64799088, 0.8835013052597102
1.30106362, -3.14159265, -0.7006214, 0.8418829344550861
1.36453014, -3.14159265, -0.75169327, 0.8046940557591412
1.42799666, -3.14159265, -0.80039367, 0.7663815413951082
